epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,26389.8,0.22751,0.17921,0.86594,0.97326,0.99273,0.98392,0.97948,0.15787,4.47031,0.77206,0.002971,0.002971,0.002971
73,26756.1,0.22423,0.17556,0.86329,0.97503,0.99161,0.98426,0.97986,0.1579,4.08799,0.77174,0.002872,0.002872,0.002872
74,27121.9,0.22312,0.17625,0.86294,0.97491,0.99159,0.98429,0.98021,0.15731,4.01282,0.77133,0.002773,0.002773,0.002773
75,27488.2,0.2198,0.17279,0.86269,0.97537,0.99149,0.98456,0.98017,0.15737,3.91163,0.77153,0.002674,0.002674,0.002674
76,27853.3,0.21936,0.17297,0.86102,0.97432,0.99149,0.98432,0.97995,0.1576,3.32535,0.77165,0.002575,0.002575,0.002575
77,28219.9,0.21901,0.17243,0.8618,0.9728,0.99237,0.9845,0.98008,0.15727,3.27995,0.77166,0.002476,0.002476,0.002476
78,28585.4,0.21709,0.17037,0.85779,0.97269,0.99299,0.98449,0.97985,0.15641,3.63865,0.77088,0.002377,0.002377,0.002377
79,28951,0.21586,0.16528,0.85591,0.97303,0.99262,0.98431,0.9799,0.15588,3.52391,0.77088,0.002278,0.002278,0.002278
80,29317.5,0.21569,0.16786,0.85627,0.97449,0.99212,0.98438,0.97973,0.1558,3.21034,0.77099,0.002179,0.002179,0.002179
81,29682.8,0.21318,0.16828,0.85499,0.97503,0.99112,0.98445,0.98015,0.15517,3.01091,0.77066,0.00208,0.00208,0.00208
82,30049,0.21283,0.16404,0.85459,0.97622,0.99117,0.98305,0.97856,0.15446,2.90245,0.77032,0.001981,0.001981,0.001981
83,30414.4,0.21141,0.16526,0.85715,0.97648,0.99162,0.98412,0.97965,0.15434,2.75458,0.7707,0.001882,0.001882,0.001882
84,30779.9,0.21009,0.16508,0.85704,0.97655,0.99137,0.98415,0.9799,0.1542,2.71677,0.77059,0.001783,0.001783,0.001783
85,31145.3,0.21121,0.16349,0.8552,0.97528,0.99209,0.98463,0.98024,0.15414,2.79154,0.77054,0.001684,0.001684,0.001684
86,31512.1,0.20845,0.16367,0.85586,0.97704,0.99025,0.98422,0.97986,0.15357,2.89014,0.76973,0.001585,0.001585,0.001585
87,31877.8,0.20696,0.16045,0.85512,0.97694,0.99092,0.98387,0.97946,0.1533,2.87069,0.76914,0.001486,0.001486,0.001486
88,32242.5,0.20493,0.16072,0.85333,0.97648,0.99112,0.98441,0.98017,0.15306,2.7268,0.76919,0.001387,0.001387,0.001387
89,32609.4,0.20362,0.158,0.85348,0.97666,0.99124,0.98459,0.98029,0.15274,2.84432,0.76937,0.001288,0.001288,0.001288
90,32975,0.20243,0.15676,0.85305,0.97766,0.99085,0.98435,0.98005,0.15247,2.63066,0.76973,0.001189,0.001189,0.001189
91,33341.2,0.15967,0.12775,0.80647,0.97739,0.99124,0.98488,0.98035,0.15215,2.53914,0.76972,0.00109,0.00109,0.00109
92,33705.7,0.15924,0.12477,0.8065,0.97822,0.99124,0.98505,0.98068,0.15197,2.51216,0.76979,0.000991,0.000991,0.000991
93,34070.1,0.15805,0.12287,0.80654,0.97789,0.99038,0.98444,0.98009,0.15155,2.63972,0.76946,0.000892,0.000892,0.000892
94,34434.4,0.15639,0.12202,0.80567,0.97717,0.99041,0.98498,0.98072,0.15131,2.82258,0.76934,0.000793,0.000793,0.000793
95,34798.6,0.15495,0.11833,0.8037,0.97668,0.99025,0.98469,0.98033,0.15123,2.90703,0.76914,0.000694,0.000694,0.000694
96,35162.9,0.15352,0.11873,0.80271,0.97511,0.99124,0.98493,0.98083,0.15097,3.17405,0.76902,0.000595,0.000595,0.000595
97,35527.3,0.15187,0.11547,0.80213,0.9743,0.99102,0.98447,0.98026,0.15074,3.51658,0.7687,0.000496,0.000496,0.000496
98,35891.5,0.15112,0.11406,0.80243,0.97512,0.99024,0.98491,0.98076,0.15061,3.662,0.76889,0.000397,0.000397,0.000397
99,36255.7,0.1497,0.11263,0.80068,0.97455,0.98974,0.98423,0.97988,0.15049,3.78073,0.76884,0.000298,0.000298,0.000298
100,36620.3,0.14837,0.11156,0.80221,0.9745,0.98961,0.98506,0.98085,0.15021,3.88946,0.76877,0.000199,0.000199,0.000199
